rank,handle,name,platform,already_in_db,tweets_fetched,prefilter_survivors,raw_predictions,xnative_survivors,youtube_survivors,yield_net,tweets_per_week,est_predictions_per_week,crypto_share,span_days,oldest,newest
109,PatrickEBoyle,Patrick Boyle,youtube,no,40,0,0,0,0,0.0,0.1,0.0,0.0,3590,2016-01-15,2025-11-14
110,levelfieldsAI,LevelFields AI,youtube,no,40,4,0,0,0,0.0,1.5,0.0,0.0,183,2025-12-03,2026-06-05
111,epictrades1,The Inner Circle Trading Group DP David Prince,x,yes,40,7,0,0,0,0.0,280.0,0.0,0.0,1,2026-06-07,2026-06-09
112,AriWalletChain,Ari Wallet Chain,x,yes,40,7,0,0,0,0.0,93.3,0.0,0.0,3,2026-06-06,2026-06-09
113,CryptoJoeReal,Crypto Joe,x,yes,40,20,0,0,0,0.0,31.1,0.0,0.0,9,2026-05-31,2026-06-09
114,JuliusElum,Julius Elum,x,yes,40,13,1,0,0,0.0,280.0,0.0,0.0,1,2026-06-07,2026-06-09
115,PeterBordes,Peter Bordes,x,yes,40,3,0,0,0,0.0,28.0,0.0,0.0,10,2026-05-29,2026-06-09
116,RackhamRishel,Rackham Rishel,x,yes,40,5,0,0,0,0.0,9.0,0.0,0.0,31,2026-05-09,2026-06-09
117,stocksnipa,Stock Snipa,x,yes,40,19,0,0,0,0.0,56.0,0.0,0.0,5,2026-06-04,2026-06-09
118,VictorRenajlj,Victor Renard,x,yes,40,1,0,0,0,0.0,35.0,0.0,0.0,8,2026-06-01,2026-06-09
119,AltcoinSherpa,Altcoin Sherpa,x,yes,40,8,0,0,0,0.0,140.0,0.0,0.0,2,2026-06-07,2026-06-09
120,StonksBatman,April Bat 🖤 - 1/28/2021,x,yes,40,10,0,0,0,0.0,28.0,0.0,0.0,10,2026-05-28,2026-06-08
121,Eno_Crypto5,ENO Crypto,x,yes,40,6,0,0,0,0.0,93.3,0.0,0.0,3,2026-06-06,2026-06-09
122,EvasTeslaSPlaid,Eva McMillan ♥️,x,yes,40,3,0,0,0,0.0,280.0,0.0,0.0,1,2026-06-07,2026-06-09
123,quakes99,John Quakes,x,yes,40,3,0,0,0,0.0,11.7,0.0,0.0,24,2026-05-07,2026-06-01
124,sunxliao,Sun Liao,x,yes,40,10,0,0,0,0.0,56.0,0.0,0.0,5,2026-06-03,2026-06-09
125,The_AI_Investor,The AI Investor,x,yes,40,9,0,0,0,0.0,70.0,0.0,0.0,4,2026-06-05,2026-06-09
126,OuterMutant,Vaughn STV,x,yes,40,4,0,0,0,0.0,140.0,0.0,0.0,2,2026-06-06,2026-06-09
127,AirdropwithSafu,𝗦𝗮𝗳𝗶𝗻 𝗢𝗳𝗳𝗶𝗰𝗶𝗮𝗹 𝗬𝗧,x,yes,1,0,0,0,0,0.0,,,0.0,,,
128,cfromhertz,Christian Fromhertz 🇺🇸,x,yes,40,8,0,0,0,0.0,70.0,0.0,0.0,4,2026-06-05,2026-06-09
129,Its_Czai,Czai ₿,x,yes,40,13,0,0,0,0.0,3.3,0.0,0.0,84,2026-03-15,2026-06-07
130,DongBnb,DONG | BNB,x,yes,40,0,0,0,0,0.0,31.1,0.0,0.0,9,2026-05-31,2026-06-09
131,EMEBOK_,EMEBOK 🥷🕸️,x,yes,40,5,0,0,0,0.0,40.0,0.0,0.0,7,2026-06-02,2026-06-09
132,herbertong,Herbert Ong,x,yes,40,14,0,0,0,0.0,46.7,0.0,0.0,6,2026-06-03,2026-06-09
